"original_name","slug","source_group","status","reason"
"deployment-agent","deployment-agent","agents","kept","normalized"
"devops-pipeline-agent","devops-pipeline-agent","agents","kept","normalized"
"documentation-agent","documentation-agent","agents","kept","normalized"
"ecommerce-optimization-agent","ecommerce-optimization-agent","agents","kept","normalized"
"email-marketing-agent","email-marketing-agent","agents","kept","normalized"
"financial-analyst-agent","financial-analyst-agent","agents","kept","normalized"
"graphrag-builder-agent","graphrag-builder-agent","agents","kept","normalized"
"growth-hacker-agent","growth-hacker-agent","agents","kept","normalized"
"hr-recruitment-agent","hr-recruitment-agent","agents","kept","normalized"
"investor-relations-agent","investor-relations-agent","agents","kept","normalized"
"lead-generation-agent","lead-generation-agent","agents","kept","normalized"
"legal-document-agent","legal-document-agent","agents","kept","normalized"
"market-research-agent","market-research-agent","agents","kept","normalized"
"newsletter-agent","newsletter-agent","agents","kept","normalized"
"performance-review-agent","performance-review-agent","agents","kept","normalized"
"podcast-video-agent","podcast-video-agent","agents","kept","normalized"
"pricing-strategy-agent","pricing-strategy-agent","agents","kept","normalized"
"pr-media-outreach-agent","pr-media-outreach-agent","agents","kept","normalized"
"product-manager-agent","product-manager-agent","agents","kept","normalized"
"proposal-writer-agent","proposal-writer-agent","agents","kept","normalized"
"research-desk-agent","research-desk-agent","agents","kept","normalized"
"sales-automator-agent","sales-automator-agent","agents","kept","normalized"
"security-auditor-agent","security-auditor-agent","agents","kept","normalized"
"seo-audit-agent","seo-audit-agent","agents","kept","normalized"
"seo-content-agent","seo-content-agent","agents","kept","normalized"
"social-media-agent","social-media-agent","agents","kept","normalized"
"social-media-manager-agent","social-media-manager-agent","agents","kept","normalized"
"supply-chain-agent","supply-chain-agent","agents","kept","normalized"
"tax-finance-agent","tax-finance-agent","agents","kept","normalized"
"testing-qa-agent","testing-qa-agent","agents","kept","normalized"
"video-content-agent","video-content-agent","agents","kept","normalized"
"workflow-automator-agent","workflow-automator-agent","agents","kept","normalized"
"3d-web-experience","3d-web-experience","skills","kept","normalized"
"a-b-testing-infrastructure","a-b-testing-infrastructure","skills","kept","normalized"
"ab-testing-statistics","ab-testing-statistics","skills","kept","normalized"
"ab-test-setup","ab-test-setup","skills","kept","normalized"
"academic-writing-guide","academic-writing-guide","skills","kept","normalized"
"accessibility-compliance-accessibility-audit","accessibility-compliance-accessibility-audit","skills","kept","normalized"
"accessibility-compliance-guide","accessibility-compliance-guide","skills","kept","normalized"
"accessibility-testing","accessibility-testing","skills","kept","normalized"
"accessibility-testing-guide","accessibility-testing-guide","skills","kept","normalized"
"accounts-receivable-guide","accounts-receivable-guide","skills","kept","normalized"
"acquisition-channel-advisor","acquisition-channel-advisor","skills","kept","normalized"
"activecampaign-automation","activecampaign-automation","skills","kept","normalized"
"active-directory-attacks","active-directory-attacks","skills","kept","normalized"
"ad-creative-frameworks","ad-creative-frameworks","skills","kept","normalized"
"address-github-comments","address-github-comments","skills","kept","normalized"
"ads","ads","skills","kept","normalized"
"ads-audit","ads-audit","skills","kept","normalized"
"ads-budget","ads-budget","skills","kept","normalized"
"ads-competitor","ads-competitor","skills","kept","normalized"
"ads-creative","ads-creative","skills","kept","normalized"
"ads-ctv","ads-ctv","skills","kept","normalized"
"ads-google","ads-google","skills","kept","normalized"
"ads-landing","ads-landing","skills","kept","normalized"
"ads-linkedin","ads-linkedin","skills","kept","normalized"
"ads-meta","ads-meta","skills","kept","normalized"
"ads-microsoft","ads-microsoft","skills","kept","normalized"
"ads-plan","ads-plan","skills","kept","normalized"
"ads-tiktok","ads-tiktok","skills","kept","normalized"
"ads-youtube","ads-youtube","skills","kept","normalized"
"affiliate-marketing-program","affiliate-marketing-program","skills","kept","normalized"
"affiliate-program-setup","affiliate-program-setup","skills","kept","normalized"
"affiliate-site-generator","affiliate-site-generator","skills","kept","normalized"
"agency-operations","agency-operations","skills","kept","normalized"
"agency-operations-guide","agency-operations-guide","skills","kept","normalized"
"agent-browser","agent-browser","skills","kept","normalized"
"agent-evaluation","agent-evaluation","skills","kept","normalized"
"agent-framework-azure-ai-py","agent-framework-azure-ai-py","skills","kept","normalized"
"agent-manager-skill","agent-manager-skill","skills","kept","normalized"
"agent-memory-mcp","agent-memory-mcp","skills","kept","normalized"
"agent-orchestration-improve-agent","agent-orchestration-improve-agent","skills","kept","normalized"
"agent-orchestration-multi-agent-optimize","agent-orchestration-multi-agent-optimize","skills","kept","normalized"
"AGENTS","agents","skills","kept","normalized"
"agent-tool-builder","agent-tool-builder","skills","kept","normalized"
"aggressive-alpha-strategy","aggressive-alpha-strategy","skills","kept","normalized"
"agile-at-scale-guide","agile-at-scale-guide","skills","kept","normalized"
"agritech-solutions-guide","agritech-solutions-guide","skills","kept","normalized"
"ai-agent-debugger","ai-agent-debugger","skills","kept","normalized"
"ai-agents-architect","ai-agents-architect","skills","kept","normalized"
"ai-automation-integration","ai-automation-integration","skills","kept","normalized"
"ai-classification","ai-classification","skills","kept","normalized"
"ai-code-review-setup","ai-code-review-setup","skills","kept","normalized"
"ai-content-moderation","ai-content-moderation","skills","kept","normalized"
"ai-cost-optimization","ai-cost-optimization","skills","kept","normalized"
"ai-data-extraction","ai-data-extraction","skills","kept","normalized"
"ai-engineer","ai-engineer","skills","kept","normalized"
"ai-ethics-guide","ai-ethics-guide","skills","kept","normalized"
"ai-image-generation","ai-image-generation","skills","kept","normalized"
"ai-image-generation-guide","ai-image-generation-guide","skills","kept","normalized"
"ai-pair-programmer","ai-pair-programmer","skills","kept","normalized"
"ai-powered-search","ai-powered-search","skills","kept","normalized"
"ai-product","ai-product","skills","kept","normalized"
"ai-product-builder","ai-product-builder","skills","kept","normalized"
"airflow-dag-patterns","airflow-dag-patterns","skills","kept","normalized"
"airtable-automation","airtable-automation","skills","kept","normalized"
"airtable-automation-guide","airtable-automation-guide","skills","kept","normalized"
"airtable-automation-patterns","airtable-automation-patterns","skills","kept","normalized"
"ai-shaped-readiness-advisor","ai-shaped-readiness-advisor","skills","kept","normalized"
"ai-summarization","ai-summarization","skills","kept","normalized"
"ai-testing-patterns","ai-testing-patterns","skills","kept","normalized"
"ai-translation","ai-translation","skills","kept","normalized"
"ai-workflow-orchestration","ai-workflow-orchestration","skills","kept","normalized"
"ai-wrapper-product","ai-wrapper-product","skills","kept","normalized"
"algolia-search","algolia-search","skills","kept","normalized"
"algolia-search-guide","algolia-search-guide","skills","kept","normalized"
"algorithm-design-patterns","algorithm-design-patterns","skills","kept","normalized"
"algorithmic-art","algorithmic-art","skills","kept","normalized"
"alpha-signal-aggregator","alpha-signal-aggregator","skills","kept","normalized"
"alpha-vantage","alpha-vantage","skills","kept","normalized"
"amplitude-analytics-guide","amplitude-analytics-guide","skills","kept","normalized"
"amplitude-automation","amplitude-automation","skills","kept","normalized"
"analytical-sql-patterns","analytical-sql-patterns","skills","kept","normalized"
"analytics-and-tracking-setup","analytics-and-tracking-setup","skills","kept","normalized"
"analytics-reporting-automation","analytics-reporting-automation","skills","kept","normalized"
"analytics-tracking","analytics-tracking","skills","kept","normalized"
"android-jetpack-compose","android-jetpack-compose","skills","kept","normalized"
"angel-investing-basics","angel-investing-basics","skills","kept","normalized"
"angular","angular","skills","kept","normalized"
"angular-best-practices","angular-best-practices","skills","kept","normalized"
"angular-migration","angular-migration","skills","kept","normalized"
"angular-state-management","angular-state-management","skills","kept","normalized"
"angular-ui-patterns","angular-ui-patterns","skills","kept","normalized"
"annual-planning-process","annual-planning-process","skills","kept","normalized"
"ansible-automation-guide","ansible-automation-guide","skills","kept","normalized"
"ansible-playbooks","ansible-playbooks","skills","kept","normalized"
"anti-corruption-layer","anti-corruption-layer","skills","kept","normalized"
"anti-reversing-techniques","anti-reversing-techniques","skills","kept","normalized"
"apache-kafka-patterns","apache-kafka-patterns","skills","kept","normalized"
"apache-spark-patterns","apache-spark-patterns","skills","kept","normalized"
"api-abuse-prevention","api-abuse-prevention","skills","kept","normalized"
"api-authentication-patterns","api-authentication-patterns","skills","kept","normalized"
"api-client-generator","api-client-generator","skills","kept","normalized"
"api-deprecation-strategy","api-deprecation-strategy","skills","kept","normalized"
"api-design","api-design","skills","kept","normalized"
"api-design-principles","api-design-principles","skills","kept","normalized"
"api-documentation-generator","api-documentation-generator","skills","kept","normalized"
"api-documentation-guide","api-documentation-guide","skills","kept","normalized"
"api-documenter","api-documenter","skills","kept","normalized"
"api-fuzzing-bug-bounty","api-fuzzing-bug-bounty","skills","kept","normalized"
"api-gateway-implementation","api-gateway-implementation","skills","kept","normalized"
"api-integration-patterns","api-integration-patterns","skills","kept","normalized"
"api-migration-strategies","api-migration-strategies","skills","kept","normalized"
"api-mocking-patterns","api-mocking-patterns","skills","kept","normalized"
"api-monetization-guide","api-monetization-guide","skills","kept","normalized"
"api-observability","api-observability","skills","kept","normalized"
"api-pagination-cursor","api-pagination-cursor","skills","kept","normalized"
"api-patterns","api-patterns","skills","kept","normalized"
"api-platform-guide","api-platform-guide","skills","kept","normalized"
"api-rate-limit-architecture","api-rate-limit-architecture","skills","kept","normalized"
"api-rate-limiter","api-rate-limiter","skills","kept","normalized"
"api-rate-limiting-design","api-rate-limiting-design","skills","kept","normalized"
"api-sdk-design-guide","api-sdk-design-guide","skills","kept","normalized"
"api-security-best-practices","api-security-best-practices","skills","kept","normalized"
"api-testing-observability-api-mock","api-testing-observability-api-mock","skills","kept","normalized"
"api-testing-patterns","api-testing-patterns","skills","kept","normalized"
"api-testing-patterns-2","api-testing-patterns-2","skills","kept","normalized"
"api-testing-strategy","api-testing-strategy","skills","kept","normalized"
"app-builder","app-builder","skills","kept","normalized"
"application-performance-performance-optimization","application-performance-performance-optimization","skills","kept","normalized"
"approval-workflow-patterns","approval-workflow-patterns","skills","kept","normalized"
"appsec-sdlc","appsec-sdlc","skills","kept","normalized"
"appsec-testing-checklist","appsec-testing-checklist","skills","kept","normalized"
"app-store-optimization","app-store-optimization","skills","kept","normalized"
"app-store-submission-guide","app-store-submission-guide","skills","kept","normalized"
"architect-review","architect-review","skills","kept","normalized"
"architecture","architecture","skills","kept","normalized"
"architecture-patterns","architecture-patterns","skills","kept","normalized"
"architecture-review-process","architecture-review-process","skills","kept","normalized"
"ar-development-basics","ar-development-basics","skills","kept","normalized"
"arduino-prototyping-guide","arduino-prototyping-guide","skills","kept","normalized"
"argocd-gitops-patterns","argocd-gitops-patterns","skills","kept","normalized"
"arm-cortex-expert","arm-cortex-expert","skills","kept","normalized"
"article-writing","article-writing","skills","kept","normalized"
"artillery-load-testing","artillery-load-testing","skills","kept","normalized"
"asana-automation","asana-automation","skills","kept","normalized"
"astro-framework-guide","astro-framework-guide","skills","kept","normalized"
"astro-patterns","astro-patterns","skills","kept","normalized"
"astro-seo","astro-seo","skills","kept","normalized"
"async-python-patterns","async-python-patterns","skills","kept","normalized"
"attack-tree-construction","attack-tree-construction","skills","kept","normalized"
"audio-production-guide","audio-production-guide","skills","kept","normalized"
"audio-transcriber","audio-transcriber","skills","kept","normalized"
"audit-log-patterns","audit-log-patterns","skills","kept","normalized"
"auth-implementation-patterns","auth-implementation-patterns","skills","kept","normalized"
"autogen-patterns","autogen-patterns","skills","kept","normalized"
"automate-whatsapp","automate-whatsapp","skills","kept","normalized"
"autonomous-agent-patterns","autonomous-agent-patterns","skills","kept","normalized"
"autonomous-agents","autonomous-agents","skills","kept","normalized"
"autonomous-scanner","autonomous-scanner","skills","kept","normalized"
"autonomous-task-runner","autonomous-task-runner","skills","kept","normalized"
"avalonia-layout-zafiro","avalonia-layout-zafiro","skills","kept","normalized"
"avalonia-viewmodels-zafiro","avalonia-viewmodels-zafiro","skills","kept","normalized"
"avalonia-zafiro-development","avalonia-zafiro-development","skills","kept","normalized"
"aws-api-gateway","aws-api-gateway","skills","kept","normalized"
"aws-cdk-constructs","aws-cdk-constructs","skills","kept","normalized"
"aws-cdk-patterns","aws-cdk-patterns","skills","kept","normalized"
"aws-cloudfront-cdn","aws-cloudfront-cdn","skills","kept","normalized"
"aws-cloudwatch-logging","aws-cloudwatch-logging","skills","kept","normalized"
"aws-cloudwatch-monitoring","aws-cloudwatch-monitoring","skills","kept","normalized"
"aws-ecs-fargate","aws-ecs-fargate","skills","kept","normalized"
"aws-ecs-fargate-guide","aws-ecs-fargate-guide","skills","kept","normalized"
"aws-eks-kubernetes","aws-eks-kubernetes","skills","kept","normalized"
"aws-elasticache","aws-elasticache","skills","kept","normalized"
"aws-iam-best-practices","aws-iam-best-practices","skills","kept","normalized"
"aws-iam-security","aws-iam-security","skills","kept","normalized"
"aws-marketplace-listing","aws-marketplace-listing","skills","kept","normalized"
"aws-opensearch","aws-opensearch","skills","kept","normalized"
"aws-penetration-testing","aws-penetration-testing","skills","kept","normalized"
"aws-rds-aurora","aws-rds-aurora","skills","kept","normalized"
"aws-route53-dns","aws-route53-dns","skills","kept","normalized"
"aws-sam-patterns","aws-sam-patterns","skills","kept","normalized"
"aws-secrets-manager","aws-secrets-manager","skills","kept","normalized"
"aws-serverless","aws-serverless","skills","kept","normalized"
"aws-skills","aws-skills","skills","kept","normalized"
"aws-sqs-sns-patterns","aws-sqs-sns-patterns","skills","kept","normalized"
"aws-step-functions","aws-step-functions","skills","kept","normalized"
"aws-waf-security","aws-waf-security","skills","kept","normalized"
"aws-well-architected-guide","aws-well-architected-guide","skills","kept","normalized"
"azd-deployment","azd-deployment","skills","kept","normalized"
"azure-ai-agents-persistent-dotnet","azure-ai-agents-persistent-dotnet","skills","kept","normalized"
"azure-ai-agents-persistent-java","azure-ai-agents-persistent-java","skills","kept","normalized"
"azure-ai-anomalydetector-java","azure-ai-anomalydetector-java","skills","kept","normalized"
"azure-ai-contentsafety-java","azure-ai-contentsafety-java","skills","kept","normalized"
"azure-ai-contentsafety-py","azure-ai-contentsafety-py","skills","kept","normalized"
"azure-ai-contentsafety-ts","azure-ai-contentsafety-ts","skills","kept","normalized"
"azure-ai-contentunderstanding-py","azure-ai-contentunderstanding-py","skills","kept","normalized"
"azure-ai-document-intelligence-dotnet","azure-ai-document-intelligence-dotnet","skills","kept","normalized"
"azure-ai-document-intelligence-ts","azure-ai-document-intelligence-ts","skills","kept","normalized"
"azure-ai-formrecognizer-java","azure-ai-formrecognizer-java","skills","kept","normalized"
"azure-ai-ml-py","azure-ai-ml-py","skills","kept","normalized"
"azure-ai-openai-dotnet","azure-ai-openai-dotnet","skills","kept","normalized"
"azure-ai-projects-dotnet","azure-ai-projects-dotnet","skills","kept","normalized"
"azure-ai-projects-java","azure-ai-projects-java","skills","kept","normalized"
"azure-ai-projects-py","azure-ai-projects-py","skills","kept","normalized"
"azure-ai-projects-ts","azure-ai-projects-ts","skills","kept","normalized"
"azure-ai-textanalytics-py","azure-ai-textanalytics-py","skills","kept","normalized"
"azure-ai-transcription-py","azure-ai-transcription-py","skills","kept","normalized"
"azure-ai-translation-document-py","azure-ai-translation-document-py","skills","kept","normalized"
"azure-ai-translation-text-py","azure-ai-translation-text-py","skills","kept","normalized"
"azure-ai-translation-ts","azure-ai-translation-ts","skills","kept","normalized"
"azure-ai-vision-imageanalysis-java","azure-ai-vision-imageanalysis-java","skills","kept","normalized"
"azure-ai-vision-imageanalysis-py","azure-ai-vision-imageanalysis-py","skills","kept","normalized"
"azure-ai-voicelive-dotnet","azure-ai-voicelive-dotnet","skills","kept","normalized"
"azure-ai-voicelive-java","azure-ai-voicelive-java","skills","kept","normalized"
"azure-ai-voicelive-py","azure-ai-voicelive-py","skills","kept","normalized"
"azure-ai-voicelive-ts","azure-ai-voicelive-ts","skills","kept","normalized"
"azure-appconfiguration-java","azure-appconfiguration-java","skills","kept","normalized"
"azure-appconfiguration-py","azure-appconfiguration-py","skills","kept","normalized"
"azure-appconfiguration-ts","azure-appconfiguration-ts","skills","kept","normalized"
"azure-communication-callautomation-java","azure-communication-callautomation-java","skills","kept","normalized"
"azure-communication-callingserver-java","azure-communication-callingserver-java","skills","kept","normalized"
"azure-communication-chat-java","azure-communication-chat-java","skills","kept","normalized"
"azure-communication-common-java","azure-communication-common-java","skills","kept","normalized"
"azure-communication-sms-java","azure-communication-sms-java","skills","kept","normalized"
"azure-compute-batch-java","azure-compute-batch-java","skills","kept","normalized"
"azure-containerregistry-py","azure-containerregistry-py","skills","kept","normalized"
"azure-cosmos-db-py","azure-cosmos-db-py","skills","kept","normalized"
"azure-cosmos-java","azure-cosmos-java","skills","kept","normalized"
"azure-cosmos-py","azure-cosmos-py","skills","kept","normalized"
"azure-cosmos-rust","azure-cosmos-rust","skills","kept","normalized"
"azure-cosmos-ts","azure-cosmos-ts","skills","kept","normalized"
"azure-data-tables-java","azure-data-tables-java","skills","kept","normalized"
"azure-data-tables-py","azure-data-tables-py","skills","kept","normalized"
"azure-devops-pipelines","azure-devops-pipelines","skills","kept","normalized"
"azure-eventgrid-dotnet","azure-eventgrid-dotnet","skills","kept","normalized"
"azure-eventgrid-java","azure-eventgrid-java","skills","kept","normalized"
"azure-eventgrid-py","azure-eventgrid-py","skills","kept","normalized"
"azure-eventhub-dotnet","azure-eventhub-dotnet","skills","kept","normalized"
"azure-eventhub-java","azure-eventhub-java","skills","kept","normalized"
"azure-eventhub-py","azure-eventhub-py","skills","kept","normalized"
"azure-eventhub-rust","azure-eventhub-rust","skills","kept","normalized"
"azure-eventhub-ts","azure-eventhub-ts","skills","kept","normalized"
"azure-functions","azure-functions","skills","kept","normalized"
"azure-identity-dotnet","azure-identity-dotnet","skills","kept","normalized"
"azure-identity-java","azure-identity-java","skills","kept","normalized"
"azure-identity-py","azure-identity-py","skills","kept","normalized"
"azure-identity-rust","azure-identity-rust","skills","kept","normalized"
"azure-identity-ts","azure-identity-ts","skills","kept","normalized"
"azure-keyvault-certificates-rust","azure-keyvault-certificates-rust","skills","kept","normalized"
"azure-keyvault-keys-rust","azure-keyvault-keys-rust","skills","kept","normalized"
"azure-keyvault-keys-ts","azure-keyvault-keys-ts","skills","kept","normalized"
"azure-keyvault-py","azure-keyvault-py","skills","kept","normalized"
"azure-keyvault-secrets-rust","azure-keyvault-secrets-rust","skills","kept","normalized"
"azure-keyvault-secrets-ts","azure-keyvault-secrets-ts","skills","kept","normalized"
"azure-maps-search-dotnet","azure-maps-search-dotnet","skills","kept","normalized"
"azure-messaging-webpubsub-java","azure-messaging-webpubsub-java","skills","kept","normalized"
"azure-messaging-webpubsubservice-py","azure-messaging-webpubsubservice-py","skills","kept","normalized"
"azure-mgmt-apicenter-dotnet","azure-mgmt-apicenter-dotnet","skills","kept","normalized"
"azure-mgmt-apicenter-py","azure-mgmt-apicenter-py","skills","kept","normalized"
"azure-mgmt-apimanagement-dotnet","azure-mgmt-apimanagement-dotnet","skills","kept","normalized"
"azure-mgmt-apimanagement-py","azure-mgmt-apimanagement-py","skills","kept","normalized"
"azure-mgmt-applicationinsights-dotnet","azure-mgmt-applicationinsights-dotnet","skills","kept","normalized"
"azure-mgmt-arizeaiobservabilityeval-dotnet","azure-mgmt-arizeaiobservabilityeval-dotnet","skills","kept","normalized"
"azure-mgmt-botservice-dotnet","azure-mgmt-botservice-dotnet","skills","kept","normalized"
"azure-mgmt-botservice-py","azure-mgmt-botservice-py","skills","kept","normalized"
"azure-mgmt-fabric-dotnet","azure-mgmt-fabric-dotnet","skills","kept","normalized"
"azure-mgmt-fabric-py","azure-mgmt-fabric-py","skills","kept","normalized"
"azure-mgmt-mongodbatlas-dotnet","azure-mgmt-mongodbatlas-dotnet","skills","kept","normalized"
"azure-mgmt-weightsandbiases-dotnet","azure-mgmt-weightsandbiases-dotnet","skills","kept","normalized"
"azure-microsoft-playwright-testing-ts","azure-microsoft-playwright-testing-ts","skills","kept","normalized"
"azure-monitor-ingestion-java","azure-monitor-ingestion-java","skills","kept","normalized"
"azure-monitor-ingestion-py","azure-monitor-ingestion-py","skills","kept","normalized"
"azure-monitor-opentelemetry-exporter-java","azure-monitor-opentelemetry-exporter-java","skills","kept","normalized"
"azure-monitor-opentelemetry-exporter-py","azure-monitor-opentelemetry-exporter-py","skills","kept","normalized"
"azure-monitor-opentelemetry-py","azure-monitor-opentelemetry-py","skills","kept","normalized"
"azure-monitor-opentelemetry-ts","azure-monitor-opentelemetry-ts","skills","kept","normalized"
"azure-monitor-query-java","azure-monitor-query-java","skills","kept","normalized"
"azure-monitor-query-py","azure-monitor-query-py","skills","kept","normalized"
"azure-postgres-ts","azure-postgres-ts","skills","kept","normalized"
"azure-resource-manager-cosmosdb-dotnet","azure-resource-manager-cosmosdb-dotnet","skills","kept","normalized"
"azure-resource-manager-durabletask-dotnet","azure-resource-manager-durabletask-dotnet","skills","kept","normalized"
"azure-resource-manager-mysql-dotnet","azure-resource-manager-mysql-dotnet","skills","kept","normalized"
"azure-resource-manager-playwright-dotnet","azure-resource-manager-playwright-dotnet","skills","kept","normalized"
"azure-resource-manager-postgresql-dotnet","azure-resource-manager-postgresql-dotnet","skills","kept","normalized"
"azure-resource-manager-redis-dotnet","azure-resource-manager-redis-dotnet","skills","kept","normalized"
"azure-resource-manager-sql-dotnet","azure-resource-manager-sql-dotnet","skills","kept","normalized"
"azure-search-documents-dotnet","azure-search-documents-dotnet","skills","kept","normalized"
"azure-search-documents-py","azure-search-documents-py","skills","kept","normalized"
"azure-search-documents-ts","azure-search-documents-ts","skills","kept","normalized"
"azure-security-keyvault-keys-dotnet","azure-security-keyvault-keys-dotnet","skills","kept","normalized"
"azure-security-keyvault-keys-java","azure-security-keyvault-keys-java","skills","kept","normalized"
"azure-security-keyvault-secrets-java","azure-security-keyvault-secrets-java","skills","kept","normalized"
"azure-servicebus-dotnet","azure-servicebus-dotnet","skills","kept","normalized"
"azure-servicebus-py","azure-servicebus-py","skills","kept","normalized"
"azure-servicebus-ts","azure-servicebus-ts","skills","kept","normalized"
"azure-speech-to-text-rest-py","azure-speech-to-text-rest-py","skills","kept","normalized"
"azure-storage-blob-java","azure-storage-blob-java","skills","kept","normalized"
"azure-storage-blob-py","azure-storage-blob-py","skills","kept","normalized"
"azure-storage-blob-rust","azure-storage-blob-rust","skills","kept","normalized"
"azure-storage-blob-ts","azure-storage-blob-ts","skills","kept","normalized"
"azure-storage-file-datalake-py","azure-storage-file-datalake-py","skills","kept","normalized"
"azure-storage-file-share-py","azure-storage-file-share-py","skills","kept","normalized"
"azure-storage-file-share-ts","azure-storage-file-share-ts","skills","kept","normalized"
"azure-storage-queue-py","azure-storage-queue-py","skills","kept","normalized"
"azure-storage-queue-ts","azure-storage-queue-ts","skills","kept","normalized"
"azure-web-pubsub-ts","azure-web-pubsub-ts","skills","kept","normalized"
"b2b-content-marketing","b2b-content-marketing","skills","kept","normalized"
"backend-architect","backend-architect","skills","kept","normalized"
"backend-development-feature-development","backend-development-feature-development","skills","kept","normalized"
"backend-dev-guidelines","backend-dev-guidelines","skills","kept","normalized"
"backend-integration-testing","backend-integration-testing","skills","kept","normalized"
"backend-security-coder","backend-security-coder","skills","kept","normalized"
"background-job-patterns","background-job-patterns","skills","kept","normalized"
"background-job-processing","background-job-processing","skills","kept","normalized"
"backstage-developer-portal","backstage-developer-portal","skills","kept","normalized"
"backtest-expert","backtest-expert","skills","kept","normalized"
"backtesting-frameworks","backtesting-frameworks","skills","kept","normalized"
"bamboohr-automation","bamboohr-automation","skills","kept","normalized"
"basecamp-automation","basecamp-automation","skills","kept","normalized"
"bash-automation-scripts","bash-automation-scripts","skills","kept","normalized"
"bash-defensive-patterns","bash-defensive-patterns","skills","kept","normalized"
"bash-linux","bash-linux","skills","kept","normalized"
"bash-pro","bash-pro","skills","kept","normalized"
"batch-processing-patterns","batch-processing-patterns","skills","kept","normalized"
"bats-testing-patterns","bats-testing-patterns","skills","kept","normalized"
"bazel-build-optimization","bazel-build-optimization","skills","kept","normalized"
"bdd-patterns","bdd-patterns","skills","kept","normalized"
"beautiful-prose","beautiful-prose","skills","kept","normalized"
"behavioral-modes","behavioral-modes","skills","kept","normalized"
"billing-automation","billing-automation","skills","kept","normalized"
"binary-analysis-patterns","binary-analysis-patterns","skills","kept","normalized"
"bitbucket-automation","bitbucket-automation","skills","kept","normalized"
"blockchain-developer","blockchain-developer","skills","kept","normalized"
"blog-to-revenue-pipeline","blog-to-revenue-pipeline","skills","kept","normalized"
"BLOOMBERG-SKILLS-INDEX","bloomberg-skills-index","skills","kept","normalized"
"blue-green-deployment","blue-green-deployment","skills","kept","normalized"
"blue-green-deployment-guide","blue-green-deployment-guide","skills","kept","normalized"
"blue-team-detection","blue-team-detection","skills","kept","normalized"
"board-deck-template","board-deck-template","skills","kept","normalized"
"bookkeeping-setup-guide","bookkeeping-setup-guide","skills","kept","normalized"
"bootstrapping-strategies","bootstrapping-strategies","skills","kept","normalized"
"box-automation","box-automation","skills","kept","normalized"
"brainstorming","brainstorming","skills","kept","normalized"
"brand-guidelines-anthropic","brand-guidelines-anthropic","skills","kept","normalized"
"brand-guidelines-community","brand-guidelines-community","skills","kept","normalized"
"ai-product-swarm","ai-product-swarm","swarms","kept","normalized"
"compliance-swarm","compliance-swarm","swarms","kept","normalized"
"content-swarm","content-swarm","swarms","kept","normalized"
"data-intelligence-swarm","data-intelligence-swarm","swarms","kept","normalized"
"development-swarm","development-swarm","swarms","kept","normalized"
"finance-swarm","finance-swarm","swarms","kept","normalized"
"marketing-swarm","marketing-swarm","swarms","kept","normalized"
"operations-swarm","operations-swarm","swarms","kept","normalized"
"personal-productivity-swarm","personal-productivity-swarm","swarms","kept","normalized"
"product-launch-swarm","product-launch-swarm","swarms","kept","normalized"
"research-swarm","research-swarm","swarms","kept","normalized"
"sales-swarm","sales-swarm","swarms","kept","normalized"
